IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site  Biological Process	interpro	conserved_site		PS00178	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR001514	DNA-directed RNA polymerase, 30-40kDa subunit, conserved site  Biological Process	interpro	conserved_site		PS00446	GO:0003677,GO:0003899,GO:0006351
IPR001529	DNA-directed RNA polymerase, M/15kDa subunit  Biological Process	interpro	domain		SM00661,PF02150	GO:0006351
IPR001537	tRNA/rRNA methyltransferase, SpoU type  Biological Process	interpro	domain		PF00588	GO:0003723,GO:0008173,GO:0006396
IPR001566	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD  Biological Process	interpro	family		MF_01010	GO:0003723,GO:0008173,GO:0006396
IPR001591	Influenza RNA-dependent RNA polymerase subunit PB2  Biological Process	interpro	family		MF_04062	GO:0003723,GO:0039694
IPR001788	RNA-dependent RNA polymerase, alsuviricetes  Biological Process	interpro	domain		PF00978	GO:0003723,GO:0003968,GO:0006351
IPR001795	RNA-directed RNA polymerase, luteovirus  Biological Process	interpro	family		PF02123,PR00914	GO:0003723,GO:0003968,GO:0006351
IPR002078	RNA polymerase sigma factor 54 interaction domain  Biological Process	interpro	domain		PF14532,PF00158,PS50045	GO:0005524,GO:0008134,GO:0006355
IPR002092	DNA-directed RNA polymerase, phage-type  Biological Process	interpro	family		PS00489,PS00900,PTHR10102	GO:0003677,GO:0003899,GO:0006351
IPR002166	RNA dependent RNA polymerase, hepatitis C virus  Biological Process	interpro	family		PF00998	GO:0003723,GO:0003968,GO:0039694
IPR002218	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG-related  Biological Process	interpro	family		PTHR11806	GO:0050660,GO:0008033
IPR002300	Aminoacyl-tRNA synthetase, class Ia  Biological Process	interpro	domain		PF00133	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002301	Isoleucine-tRNA ligase  Biological Process	interpro	family		PR00984,TIGR00392	GO:0000166,GO:0004822,GO:0005524,GO:0006428
IPR002302	Leucine-tRNA ligase  Biological Process	interpro	family		PTHR43740,MF_00049_B,TIGR00396,PR00985	GO:0000166,GO:0004823,GO:0005524,GO:0006429
IPR002303	Valine-tRNA ligase  Biological Process	interpro	family		MF_02004,TIGR00422,PTHR11946,PR00986	GO:0000166,GO:0004832,GO:0005524,GO:0006438
IPR002305	Aminoacyl-tRNA synthetase, class Ic  Biological Process	interpro	family		PF00579	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002306	Tryptophan-tRNA ligase  Biological Process	interpro	family		cd00806,PR01039,TIGR00233	GO:0000166,GO:0004830,GO:0005524,GO:0006436
IPR002307	Tyrosine-tRNA ligase  Biological Process	interpro	family		cd00805,TIGR00234,PR01040	GO:0000166,GO:0004831,GO:0005524,GO:0006437
IPR002310	Glycine-tRNA ligase, alpha subunit  Biological Process	interpro	family		cd00733,MF_00254,TIGR00388,PF02091,PR01044	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR002312	Aspartyl/Asparaginyl-tRNA synthetase, class IIb  Biological Process	interpro	family		PR01042	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002313	Lysine-tRNA ligase, class II  Biological Process	interpro	family		MF_00252,TIGR00499	GO:0004824,GO:0005524,GO:0006430
IPR002314	Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)  Biological Process	interpro	domain		PF00587	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002315	Glycyl-tRNA synthetase  Biological Process	interpro	family		TIGR00389	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR002316	Proline-tRNA ligase, class IIa  Biological Process	interpro	family		PR01046	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR002317	Serine-tRNA ligase, type1  Biological Process	interpro	family		MF_00176,TIGR00414,PIRSF001529,PTHR11778,PR00981	GO:0000166,GO:0004828,GO:0005524,GO:0006434
IPR002319	Phenylalanyl-tRNA synthetase  Biological Process	interpro	domain		PF01409	GO:0000049,GO:0004812,GO:0005524,GO:0043039
IPR002320	Threonine-tRNA ligase, class IIa  Biological Process	interpro	family		MF_00184,TIGR00418,PR01047	GO:0004829,GO:0005524,GO:0006435,GO:0005737
IPR002381	Ribonuclease PH, bacterial-type  Biological Process	interpro	family		cd11362,MF_00564,TIGR01966	GO:0000049,GO:0009022,GO:0008033
IPR002463	Ornatin  Biological Process	interpro	family		PF02088,PR01184	GO:0007155,GO:0030193,GO:0005576
IPR002508	N-acetylmuramoyl-L-alanine amidase, catalytic domain  Biological Process	interpro	domain		cd02696,SM00646,PF01520	GO:0008745,GO:0009253
IPR002616	tRNA-guanine(15) transglycosylase-like  Biological Process	interpro	domain		PF01702,TIGR00449	GO:0006400
IPR002649	tRNA (guanine-N1-)-methyltransferase TrmD  Biological Process	interpro	family		cd18080,PTHR46417,MF_00605,PIRSF000386,TIGR00088	GO:0052906,GO:0008033
IPR002738	RNase P subunit p30  Biological Process	interpro	family		PF01876,PTHR13031	GO:0008033
IPR002759	RNase P subunit Pop5/Rpp14/Rnp2-like  Biological Process	interpro	family		MF_00755,PF01900	GO:0001682,GO:0030677
IPR002845	tRNA ribose 2'-O-methyltransferase, aTrm56  Biological Process	interpro	family		PTHR42197,MF_00077,PF01994,PIRSF016123	GO:0008175,GO:0002128,GO:0005737
IPR002877	Ribosomal RNA methyltransferase, FtsJ domain  Biological Process	interpro	domain		PF01728	GO:0008168,GO:0032259
IPR002904	Lysine-tRNA ligase  Biological Process	interpro	family		PTHR37940,MF_00177,TIGR00467,PF01921	GO:0000166,GO:0004824,GO:0005524,GO:0006430,GO:0005737
IPR002905	tRNA methyltransferase, Trm1  Biological Process	interpro	family		PTHR10631,PS51626,PF02005,TIGR00308	GO:0003723,GO:0016423,GO:0008033
IPR003182	RNA2 polyprotein  Biological Process	interpro	family		PF02248	GO:0046740,GO:0019028,GO:0044219
IPR003358	tRNA (guanine-N-7) methyltransferase, Trmb type  Biological Process	interpro	family		PS51625,MF_01057,PF02390,PTHR23417,TIGR00091	GO:0008176,GO:0006400
IPR003442	tRNA threonylcarbamoyl adenosine modification protein TsaE  Biological Process	interpro	family		TIGR00150,PF02367	GO:0002949
IPR003489	Ribosome hibernation promoting factor/RaiA  Biological Process	interpro	family		cd00552,PF02482,TIGR00741	GO:0044238
IPR003676	Small auxin-up RNA  Biological Process	interpro	family		PTHR35296,PTHR31374,PTHR31929,PTHR31175,PF02519	GO:0009733
IPR003682	rRNA small subunit methyltransferase G  Biological Process	interpro	family		PTHR31760,MF_00074,PIRSF003078,TIGR00138,PF02527	GO:0008649,GO:0006364,GO:0005737
IPR003716	DNA-directed RNA polymerase, omega subunit  Biological Process	interpro	family		PTHR34476,MF_00366,TIGR00690	GO:0003899,GO:0006351
IPR003720	tRNA sulfurtransferase ThiI  Biological Process	interpro	family		MF_00021	GO:0016783,GO:0034227
IPR003742	RNA methyltransferase RlmH  Biological Process	interpro	family		cd18081,PTHR33603,MF_00658,PIRSF004505,TIGR00246,PF02590	GO:0008168,GO:0006364
IPR003837	Glu-tRNAGln amidotransferase C subunit  Biological Process	interpro	family		MF_00122,PF02686,TIGR00135,PTHR15004	GO:0006450
IPR004188	Phenylalanine-tRNA ligase, class II, N-terminal  Biological Process	interpro	domain		PF02912	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004349	Vanadium/alternative nitrogenase delta subunit  Biological Process	interpro	family		PF03139	GO:0016163,GO:0009399
IPR004364	Aminoacyl-tRNA synthetase, class II (D/K/N)  Biological Process	interpro	domain		PF00152	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR004383	Ribosomal RNA large subunit methyltransferase RlmN/Cfr  Biological Process	interpro	family		SFLDF00275,PIRSF006004	GO:0008173,GO:0006364
IPR004384	RNA methyltransferase TrmJ/LasT  Biological Process	interpro	family		PTHR42786,PIRSF004808,TIGR00050	GO:0008173,GO:0006396
IPR004398	RNA methyltransferase, RsmD  Biological Process	interpro	family		PTHR43542,PIRSF004553,TIGR00095	GO:0008168,GO:0031167
IPR004412	Glutamyl-tRNA(Gln) amidotransferase A subunit  Biological Process	interpro	family		MF_00120,TIGR00132	GO:0050567,GO:0006412,GO:0030956
IPR004416	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG  Biological Process	interpro	family		MF_00129,TIGR00136	GO:0002098
IPR004417	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO  Biological Process	interpro	family		MF_01037,TIGR00137	GO:0047151,GO:0050660,GO:0008033,GO:0005737
IPR004441	RNA methyltransferase TrmH  Biological Process	interpro	family		PTHR46429,TIGR00186	GO:0008173,GO:0006396
IPR004476	Ribonuclease II/ribonuclease R  Biological Process	interpro	family		TIGR00358	GO:0003723,GO:0004540,GO:0016070
IPR004493	Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic  Biological Process	interpro	family		PTHR45794,TIGR00395	GO:0000166,GO:0004823,GO:0005524,GO:0006429
IPR004495	Methionyl-tRNA synthetase, beta subunit, C-terminal  Biological Process	interpro	domain		cd02800,TIGR00399	GO:0000166,GO:0004825,GO:0005524,GO:0006431
IPR004499	Proline-tRNA ligase, class IIa, archaeal-type  Biological Process	interpro	family		PTHR43382,MF_01571,TIGR00408	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR004500	Prolyl-tRNA synthetase, class IIa, bacterial-type  Biological Process	interpro	family		TIGR00409	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR004503	Serine-tRNA ligase type 2, archaea  Biological Process	interpro	family		MF_01278,TIGR00415	GO:0000166,GO:0004828,GO:0005524,GO:0006434,GO:0005737
IPR004506	tRNA-specific 2-thiouridylase  Biological Process	interpro	family		cd01998,MF_00144,TIGR00420	GO:0016740,GO:0008033
IPR004512	Ribosomal RNA methyltransferase E, gammaproteobacteria  Biological Process	interpro	family		TIGR00438	GO:0016436,GO:0006364
IPR004514	Glutamine-tRNA synthetase  Biological Process	interpro	family		TIGR00440	GO:0000166,GO:0004819,GO:0005524,GO:0006425,GO:0005737
IPR004519	DNA-directed RNA polymerase, subunit E/RPC8  Biological Process	interpro	family		TIGR00448	GO:0003677,GO:0003899,GO:0006351
IPR004520	tRNA modification GTPase MnmE  Biological Process	interpro	family		MF_00379,TIGR00450	GO:0003924,GO:0005525,GO:0006400
IPR004522	Asparagine-tRNA ligase  Biological Process	interpro	family		MF_00534,TIGR00457	GO:0000166,GO:0004816,GO:0005524,GO:0006421
IPR004523	Aspartate-tRNA synthetase, type 2  Biological Process	interpro	family		MF_02075,PTHR43450,TIGR00458	GO:0000166,GO:0004815,GO:0005524,GO:0006422,GO:0005737
IPR004526	Glutamyl-tRNA synthetase, archaeal/eukaryotic cytosolic  Biological Process	interpro	family		MF_02076,TIGR00463	GO:0000166,GO:0004818,GO:0005524,GO:0006424,GO:0005737
IPR004527	Glutamate-tRNA ligase, bacterial/mitochondrial  Biological Process	interpro	family		MF_00022,TIGR00464	GO:0000166,GO:0004818,GO:0005524,GO:0006424
IPR004529	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit  Biological Process	interpro	family		TIGR00468	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004530	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial  Biological Process	interpro	family		TIGR00469	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004531	Phenylalanyl-tRNA synthetase, class IIc, beta subunit, archaeal/eukaryotic type  Biological Process	interpro	family		TIGR00471	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004532	Phenylalanine-tRNA ligase, class IIc, beta subunit, bacterial type  Biological Process	interpro	family		MF_00283,TIGR00472	GO:0000287,GO:0004826,GO:0005524,GO:0006432
IPR004534	L-seryl-tRNA(Sec) selenium transferase  Biological Process	interpro	family		MF_00423,TIGR00474	GO:0004125,GO:0001514,GO:0005737
IPR004573	rRNA small subunit methyltransferase B  Biological Process	interpro	family		TIGR00563	GO:0008649,GO:0006364
IPR004616	Leucyl/phenylalanyl-tRNA-protein transferase  Biological Process	interpro	family		PTHR30098,MF_00688,TIGR00667,PF03588	GO:0008914,GO:0030163
IPR004641	Ribonuclease HIII  Biological Process	interpro	family		MF_00053,TIGR00716,PIRSF037748	GO:0004523,GO:0016070,GO:0005737
IPR004649	Ribonuclease H2, subunit A  Biological Process	interpro	family		TIGR00729	GO:0004523,GO:0016070
IPR004652	tRNA-dihydrouridine synthase DusB-like  Biological Process	interpro	family		TIGR00737	GO:0016491,GO:0050660,GO:0008033
IPR004653	tRNA-dihydrouridine(20/20a) synthase  Biological Process	interpro	family		PTHR42907,TIGR00742,MF_02041	GO:0017150,GO:0002943
IPR004659	Ribonuclease E/G  Biological Process	interpro	family		PTHR30001,TIGR00757	GO:0003723,GO:0004540,GO:0006396
IPR004802	tRNA pseudouridine synthase B family  Biological Process	interpro	family		TIGR00425,PTHR23127	GO:0006396
IPR004803	tRNA-guanine transglycosylase  Biological Process	interpro	family		MF_00168,TIGR00430	GO:0008479,GO:0101030
IPR004804	tRNA-guanine(15) transglycosylase  Biological Process	interpro	family		MF_01634,TIGR00432	GO:0016763,GO:0006400
IPR004973	DNA-directed RNA polymerase, 18kDa subunit, poxviral  Biological Process	interpro	family		PF03293	GO:0003677,GO:0003899,GO:0019083
IPR005001	RNA-binding protein Hfq  Biological Process	interpro	family		PF17209,cd01716,PTHR34772,MF_00436,TIGR02383	GO:0003723,GO:0006355
IPR005009	Poxvirus mRNA capping enzyme, small subunit  Biological Process	interpro	family		PF03341	GO:0004482,GO:0006370
IPR005059	DNA-directed RNA polymerase, 35kDa subunit, poxviral  Biological Process	interpro	family		PF03396,PIRSF000746	GO:0003677,GO:0003899,GO:0019083
IPR005093	RNA-directed RNA polymerase beta-chain  Biological Process	interpro	family		PF03431	GO:0003968,GO:0039694
IPR005147	tRNA synthetase, B5-domain  Biological Process	interpro	domain		SM00874,PS51483,PF03484	GO:0000287,GO:0003723,GO:0005524,GO:0006432
IPR005148	Arginyl tRNA synthetase N-terminal domain  Biological Process	interpro	domain		SM01016,PF03485	GO:0000166,GO:0004814,GO:0005524,GO:0006420,GO:0005737
IPR005227	Putative pre-16S rRNA nuclease  Biological Process	interpro	family		cd16964,PF03652,PTHR33317,MF_00651,TIGR00250	GO:0006364
IPR005246	O-phosphoseryl-tRNA(Cys) ligase  Biological Process	interpro	family		MF_01674,TIGR00470	GO:0004812,GO:0005524,GO:0043039
IPR005570	DNA-directed RNA polymerases I, II, and III subunit RPABC3  Biological Process	interpro	family		PF03870,SM00658,PIRSF000779,PTHR10917	GO:0003899,GO:0006351
IPR005571	RNA polymerase, Rpb5, N-terminal  Biological Process	interpro	domain		PF03871	GO:0003677,GO:0003899,GO:0006351
IPR005574	RNA polymerase subunit Rpb4/RPC9  Biological Process	interpro	family		PF03874	GO:0006352,GO:0030880
IPR005576	RNA polymerase Rpb7-like , N-terminal  Biological Process	interpro	domain		PF03876	GO:0006351
IPR005589	Alternative ribosome-rescue factor A  Biological Process	interpro	family		PF03889	GO:0072344
IPR005794	Methionyl-tRNA formyltransferase  Biological Process	interpro	family		MF_00182,TIGR00460	GO:0004479,GO:0071951
IPR005885	tRNA guanine(10)-N2-dimethyltransferase  Biological Process	interpro	family		TIGR01177	GO:0160102,GO:0030488
IPR005912	tRNA pseudouridine synthase, Pus10  Biological Process	interpro	family		MF_01893	GO:0000049,GO:0009982,GO:0001522,GO:0006400
IPR005987	Ribonuclease T  Biological Process	interpro	family		cd06134,MF_00157,TIGR01298	GO:0004540,GO:0006396
IPR006110	RNA polymerase, subunit omega/Rpo6/RPB6  Biological Process	interpro	family		SM01409,PF01192	GO:0003677,GO:0003899,GO:0006351
IPR006111	Archaeal Rpo6/eukaryotic RPB6 RNA polymerase subunit  Biological Process	interpro	family		PIRSF000778,MF_00192	GO:0003677,GO:0003899,GO:0006351
IPR006194	Glycine-tRNA synthetase, heterodimeric  Biological Process	interpro	family		PTHR30075,PS50861	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR006196	RNA-binding domain, S1, IF1 type  Biological Process	interpro	domain		PS50832,PF01176	GO:0003723,GO:0003743,GO:0006413
IPR006292	Ribonuclease D  Biological Process	interpro	family		MF_01899,TIGR01388	GO:0008408,GO:0033890,GO:0008033
IPR006463	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase MiaB  Biological Process	interpro	family		SFLDF00273,MF_01864	GO:0016740,GO:0051539,GO:0006400
IPR006466	MiaB-like tRNA modifying enzyme, archaea/eukaryota  Biological Process	interpro	family		TIGR01578	GO:0035598,GO:0035600
IPR006591	RNA polymerase archaeal subunit P/eukaryotic subunit RPABC4  Biological Process	interpro	family		PF03604,SM00659	GO:0003677,GO:0003899,GO:0006351
IPR006592	RNA polymerase, N-terminal  Biological Process	interpro	domain		SM00663	GO:0003677,GO:0003899,GO:0006351
IPR006641	YqgF/RNase H-like domain  Biological Process	interpro	domain		SM00732	GO:0006139
IPR006676	tRNA-splicing endonuclease  Biological Process	interpro	family		TIGR00324,PTHR21227	GO:0000213,GO:0006388
IPR006677	tRNA intron endonuclease, catalytic domain-like  Biological Process	interpro	domain		cd22363,PF01974	GO:0000213,GO:0006388
IPR006678	tRNA intron endonuclease, N-terminal  Biological Process	interpro	domain		PF02778	GO:0000213,GO:0006388
IPR006700	Ribosomal RNA small subunit methyltransferase E  Biological Process	interpro	family		PIRSF015601,PTHR30027,TIGR00046	GO:0008168,GO:0006364
IPR006811	RNA polymerase II subunit A  Biological Process	interpro	family		PF04722,PTHR20383	GO:0004721,GO:0006397,GO:0005634
IPR006886	DNA-directed RNA polymerase III subunit Rpc5  Biological Process	interpro	family		PTHR12069,PF04801	GO:0006351,GO:0005634
IPR006973	Pre-mRNA-splicing factor Cwf15/Cwc15  Biological Process	interpro	family		PF04889,PTHR12718	GO:0000398,GO:0005681
IPR007046	RNA polymerase sigma factor 54, core-binding domain  Biological Process	interpro	domain		PF04963	GO:0003677,GO:0006352
IPR007066	RNA polymerase Rpb1, domain 3  Biological Process	interpro	domain		PF04983	GO:0003677,GO:0003899,GO:0006351
IPR007073	RNA polymerase Rpb1, domain 7  Biological Process	interpro	domain		PF04990	GO:0003677,GO:0003899,GO:0006351
IPR007075	RNA polymerase Rpb1, domain 6  Biological Process	interpro	domain		PF04992	GO:0003677,GO:0003899,GO:0006351
IPR007080	RNA polymerase Rpb1, domain 1  Biological Process	interpro	domain		PF04997	GO:0003677,GO:0003899,GO:0006351
IPR007081	RNA polymerase Rpb1, domain 5  Biological Process	interpro	domain		PF04998	GO:0003677,GO:0003899,GO:0006351
IPR007083	RNA polymerase Rpb1, domain 4  Biological Process	interpro	domain		PF05000	GO:0003677,GO:0003899,GO:0006351
IPR007094	RNA-directed RNA polymerase, catalytic domain  Biological Process	interpro	domain		PS50507	GO:0003968,GO:0039694
IPR007096	RNA-directed RNA polymerase, catalytic domain, bacteriophage  Biological Process	interpro	domain		PS50522	GO:0003968,GO:0019079
IPR007097	RNA-directed RNA polymerase, reovirus  Biological Process	interpro	domain		PS50523	GO:0003723,GO:0003968,GO:0019079
IPR007099	RNA-directed RNA polymerase, negative-strand RNA virus  Biological Process	interpro	domain		PS50525	GO:0003968,GO:0039694
IPR007100	Birnavirus RNA-directed RNA polymerase, palm domain  Biological Process	interpro	domain		PF04197	GO:0003968,GO:0019079
IPR007120	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain  Biological Process	interpro	domain		PF00562	GO:0003677,GO:0003899,GO:0006351
IPR007121	RNA polymerase, beta subunit, conserved site  Biological Process	interpro	conserved_site		PS01166	GO:0003677,GO:0003899,GO:0006351
IPR007127	RNA polymerase sigma factor 70, region 1.1  Biological Process	interpro	domain		PF03979	GO:0003677,GO:0006355
IPR007133	RNA polymerase II associated factor Paf1  Biological Process	interpro	family		PF03985,PTHR23188	GO:0006368,GO:0016593
IPR007306	tRNA A64-2'-O-ribosylphosphate transferase  Biological Process	interpro	family		PTHR31811,PIRSF007747	GO:0043399,GO:0019988
IPR007322	RNA-dependent RNA polymerase, bunyaviral  Biological Process	interpro	domain		PF04196	GO:0003968,GO:0006351,GO:0019079
IPR007448	Regulator of RNA polymerase sigma(70) subunit, Rsd/AlgQ  Biological Process	interpro	family		PF04353,PIRSF016548	GO:0006355
IPR007473	Ribosomal RNA large subunit methyltransferase J  Biological Process	interpro	family		PF04378,MF_00934,PTHR37426	GO:0008649,GO:0070475
IPR007536	Ribosomal RNA small subunit methyltransferase J  Biological Process	interpro	family		PTHR36112,MF_01523,PF04445	GO:0008990,GO:0031167
IPR007537	tRNAHis guanylyltransferase Thg1  Biological Process	interpro	family		PIRSF028980,PTHR12729	GO:0000287,GO:0008193,GO:0006400
IPR007624	RNA polymerase sigma-70 region 3  Biological Process	interpro	domain		PF04539	GO:0003700,GO:0006352,GO:0006355
IPR007627	RNA polymerase sigma-70 region 2  Biological Process	interpro	domain		PF04542	GO:0003700,GO:0006352,GO:0006355
IPR007630	RNA polymerase sigma-70 region 4  Biological Process	interpro	domain		PF04545	GO:0003700,GO:0006352,GO:0006355
IPR007631	RNA polymerase sigma factor 70, non-essential domain  Biological Process	interpro	domain		PF04546	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR007638	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2  Biological Process	interpro	domain		PF04557	GO:0000166,GO:0004819,GO:0005524,GO:0006425,GO:0005737
IPR007639	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal  Biological Process	interpro	domain		PF04558	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0005737
IPR007641	RNA polymerase Rpb2, domain 7  Biological Process	interpro	domain		PF04560	GO:0003677,GO:0003899,GO:0006351
IPR007642	RNA polymerase Rpb2, domain 2  Biological Process	interpro	domain		PF04561	GO:0003677,GO:0003899,GO:0006351
IPR007644	RNA polymerase, beta subunit, protrusion  Biological Process	interpro	domain		PF04563	GO:0003677,GO:0003899,GO:0006351
IPR007645	RNA polymerase Rpb2, domain 3  Biological Process	interpro	domain		PF04565	GO:0003677,GO:0003899,GO:0006351
IPR007646	RNA polymerase Rpb2, domain 4  Biological Process	interpro	domain		PF04566	GO:0003677,GO:0003899,GO:0006351
IPR007647	RNA polymerase Rpb2, domain 5  Biological Process	interpro	domain		PF04567	GO:0006351
IPR007811	DNA-directed RNA polymerase III subunit RPC4  Biological Process	interpro	family		PTHR13408,PF05132	GO:0003677,GO:0006383,GO:0005666
IPR007832	RNA polymerase Rpc34  Biological Process	interpro	family		PF05158,PIRSF028763	GO:0006383,GO:0005666
IPR007898	RNA polymerase I-specific transcription initiation factor Rrn10, Saccharomycetes  Biological Process	interpro	family		PIRSF009867	GO:0001165,GO:0042790,GO:0000500
IPR007937	RNA polymerase, 22kDa subunit, poxviral  Biological Process	interpro	family		PF05273,PIRSF000744	GO:0003677,GO:0003899,GO:0019083
IPR007984	DNA-directed RNA polymerase, 19kDa subunit, poxviral  Biological Process	interpro	family		PF05320,PIRSF000743	GO:0003677,GO:0003899,GO:0006351
IPR007991	RNA polymerase I specific transcription initiation factor RRN3  Biological Process	interpro	family		PF05327,PTHR12790	GO:0001181,GO:0006361
IPR008111	RNA-binding motif protein 8  Biological Process	interpro	family		PTHR45894,PR01738	GO:0003723,GO:0006396,GO:0005634,GO:0005737
IPR008193	DNA-directed RNA polymerase Rpb11, 13-16kDa subunit, conserved site  Biological Process	interpro	conserved_site		PS01154	GO:0003677,GO:0003899,GO:0006351
IPR008229	tRNA nucleotidyltransferase, archaea  Biological Process	interpro	family		MF_01264,TIGR03671,PIRSF005335,PTHR39643	GO:0003723,GO:0004810,GO:0001680
IPR008409	Pre-mRNA-splicing factor SPF27  Biological Process	interpro	family		PF05700,PTHR13296	GO:0006397
IPR008448	DNA-directed RNA polymerase, 7kDa polypeptide, chordopoxviral  Biological Process	interpro	family		PF05864	GO:0003677,GO:0003899,GO:0006351
IPR008594	Scavenger mRNA decapping enzyme DcpS/DCS2  Biological Process	interpro	family		PF05652,PIRSF028973,PTHR12978	GO:0016787,GO:0000290
IPR008723	RNA-dependent RNA polymerase, orbiviral  Biological Process	interpro	family		PF05788,PIRSF000821	GO:0003723,GO:0003968,GO:0006351
IPR008744	RNA-directed RNA polymerase, apple chlorotic leaf spot virus  Biological Process	interpro	domain		PF05413	GO:0003723,GO:0003968,GO:0005524,GO:0019079
IPR008806	RNA polymerase III Rpc82, C -terminal  Biological Process	interpro	domain		PF05645	GO:0003677,GO:0006351
IPR009008	Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain  Biological Process	interpro	homologous_superfamily		SSF50677,G3DSA:3.90.740.10	GO:0002161,GO:0006418
IPR009025	DNA-directed RNA polymerase, RBP11-like dimerisation domain  Biological Process	interpro	domain		PF13656	GO:0046983,GO:0006351
IPR009042	RNA polymerase sigma-70 region 1.2  Biological Process	interpro	domain		PF00140	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR009080	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding  Biological Process	interpro	homologous_superfamily		SSF47323	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR009162	RNA polymerase, 30kDa subunit, chordopox-type  Biological Process	interpro	family		PIRSF000745	GO:0003677,GO:0003899,GO:0006351
IPR009332	Mediator of RNA polymerase II transcription subunit 22  Biological Process	interpro	family		PF06179,PTHR12434	GO:0003712,GO:0006357,GO:0016592
IPR009360	Pre-mRNA-splicing factor Isy1  Biological Process	interpro	family		PF06246,PTHR13021	GO:0000350
IPR009391	23S rRNA methylase leader peptide  Biological Process	interpro	family		PF06308	GO:0046677
IPR009469	RNA-dependent RNA polymerase, N-terminal, coronavirus  Biological Process	interpro	domain		PF06478	GO:0003723,GO:0003968,GO:0005524,GO:0006351
IPR009668	RNA polymerase I associated factor, A49-like  Biological Process	interpro	family		PTHR14440,PF06870	GO:0003677,GO:0006351
IPR009674	DNA-directed RNA polymerase I subunit RPA2, domain 4  Biological Process	interpro	domain		PF06883	GO:0003899,GO:0006351,GO:0005634
IPR010017	tRNA U34 carboxymethyltransferase  Biological Process	interpro	family		MF_01590,TIGR00452	GO:0016765,GO:0002098
IPR010155	CRISPR pre-crRNA endoribonuclease Cas5d  Biological Process	interpro	family		PIRSF029950,TIGR01876	GO:0004519,GO:0051607
IPR010243	DNA-directed RNA polymerase beta subunit, bacterial-type  Biological Process	interpro	family		MF_01321,TIGR02013	GO:0003677,GO:0003899,GO:0006351
IPR010301	Ribosomal RNA processing protein 1  Biological Process	interpro	family		PTHR13026,PF05997	GO:0006364,GO:0030688
IPR010334	mRNA-decapping enzyme subunit 1  Biological Process	interpro	family		PTHR16290,PF06058	GO:0008047,GO:0000290,GO:0043085
IPR010386	tRNA-hydroxylase MiaE  Biological Process	interpro	family		cd07910,PF06175,PIRSF020736,PTHR42637	GO:0045301,GO:0006400
IPR010453	RNA polymerase, arenaviral  Biological Process	interpro	family		MF_04086,PIRSF000836,PF06317	GO:0003968,GO:0019079
IPR010559	Signal transduction histidine kinase, internal region  Biological Process	interpro	domain		PF06580	GO:0000155,GO:0000160,GO:0016020
IPR010655	Pre-mRNA cleavage complex subunit Clp1, C-terminal  Biological Process	interpro	domain		PF06807	GO:0031124
IPR010678	U3 small nucleolar RNA-associated protein 25  Biological Process	interpro	family		PTHR12933	GO:0034511,GO:0006364,GO:0005730
IPR010684	RNA polymerase II transcription factor SIII, subunit A  Biological Process	interpro	family		PF06881	GO:0006368,GO:0005634,GO:0070449
IPR010769	Ribosomal RNA aminoglycoside-resistance methyltransferase, Gram-negative bacteria  Biological Process	interpro	family		PIRSF015852	GO:0008649,GO:0046677
